opening Closing
137 137.2
133 134.05
135.95 136
132.6 134.8
122.6 133.5
125 125.15
127 128.2
127.5 129.55
126.5 129.8
127.35 128
129.4 129.4
127.5 129
126.95 126.95
126.45 129.6
127.65 127.65
124 127.7
129.7 134.75
128.5 133.3
125 129.05
124.5 131.6
117 124.8
114.95 117.6
115.1 117.55
109.45 118.2
119.45 119.45
117 118.5
128.4 128.5
129.5 129.6
125.9 129.45
131 131.1
131.4 135.35
139.9 139.9
138.05 138.9
139 140
142.9 142.9
144.45 151.95
136.5 142.9
142.45 142.45
140 144.85
139 143.95
129 138.9
132.45 133.95
141.1 143.95
152 152
158.5 158.5
155.05 157.95
